"siparis_id","kategori_adi","urun_adi","siparis_tarihi","ulke","durdurulan","toplam"
10262,"Grains/Cereals","Gnocchi di nonna Alice","1996-07-22","USA",0,"60.80"
10263,"Confections","Pavlova","1996-07-23","UK",0,"834.00"
10263,"Beverages","Guaraná Fantástica","1996-07-23","UK",1,"100.80"
10263,"Seafood","Nord-Ost Matjeshering","1996-07-23","UK",0,"1242.00"
10263,"Produce","Longlife Tofu","1996-07-23","UK",0,"288.00"
10264,"Beverages","Chang","1996-07-24","UK",1,"532.00"
10264,"Seafood","Jack's New England Clam Chowder","1996-07-24","UK",0,"192.50"
10265,"Meat/Poultry","Alice Mutton","1996-07-25","USA",1,"936.00"
10265,"Beverages","Outback Lager","1996-07-25","USA",0,"240.00"
10266,"Dairy Products","Queso Manchego La Pastora","1996-07-26","USA",0,"364.80"
10267,"Seafood","Boston Crab Meat","1996-07-29","USA",0,"735.00"
10267,"Dairy Products","Raclette Courdavault","1996-07-29","USA",0,"3080.00"
10267,"Beverages","Lakkalikööri","1996-07-29","USA",0,"216.00"
10268,"Meat/Poultry","Thüringer Rostbratwurst","1996-07-30","USA",1,"990.00"
10268,"Dairy Products","Mozzarella di Giovanni","1996-07-30","USA",0,"111.20"
10269,"Dairy Products","Geitost","1996-07-31","UK",0,"120.00"
10269,"Dairy Products","Mozzarella di Giovanni","1996-07-31","UK",0,"556.00"
10270,"Seafood","Inlagd Sill","1996-08-01","USA",0,"456.00"
10270,"Beverages","Ipoh Coffee","1996-08-01","USA",0,"920.00"
10271,"Dairy Products","Geitost","1996-08-01","UK",0,"48.00"
10272,"Confections","Sir Rodney's Marmalade","1996-08-02","UK",0,"388.80"
10272,"Dairy Products","Gorgonzola Telino","1996-08-02","UK",0,"400.00"
10272,"Dairy Products","Mozzarella di Giovanni","1996-08-02","UK",0,"667.20"
10273,"Seafood","Ikura","1996-08-05","USA",0,"595.20"
10273,"Dairy Products","Gorgonzola Telino","1996-08-05","USA",0,"150.00"
10273,"Dairy Products","Geitost","1996-08-05","USA",0,"40.00"
10273,"Seafood","Boston Crab Meat","1996-08-05","USA",0,"882.00"
10273,"Beverages","Lakkalikööri","1996-08-05","USA",0,"475.20"
10274,"Dairy Products","Flotemysost","1996-08-06","UK",0,"344.00"
10274,"Dairy Products","Mozzarella di Giovanni","1996-08-06","UK",0,"194.60"
10275,"Beverages","Guaraná Fantástica","1996-08-07","USA",1,"43.20"
10275,"Dairy Products","Raclette Courdavault","1996-08-07","USA",0,"264.00"
10276,"Seafood","Ikura","1996-08-08","USA",0,"372.00"
10276,"Seafood","Konbu","1996-08-08","USA",0,"48.00"
10277,"Produce","Rössle Sauerkraut","1996-08-09","USA",1,"728.00"
10277,"Confections","Tarte au sucre","1996-08-09","USA",0,"472.80"
10278,"Condiments","Gula Malacca","1996-08-12","USA",0,"248.00"
10278,"Dairy Products","Raclette Courdavault","1996-08-12","USA",0,"660.00"
10278,"Condiments","Vegie-spread","1996-08-12","USA",0,"280.80"
10278,"Seafood","Röd Kaviar","1996-08-12","USA",0,"300.00"
10279,"Meat/Poultry","Alice Mutton","1996-08-13","USA",1,"468.00"
10280,"Beverages","Guaraná Fantástica","1996-08-14","USA",1,"43.20"
10280,"Meat/Poultry","Pâté chinois","1996-08-14","USA",0,"384.00"
10280,"Beverages","Rhönbräu Klosterbier","1996-08-14","USA",0,"186.00"
10281,"Confections","Teatime Chocolate Biscuits","1996-08-14","USA",0,"7.30"
10281,"Beverages","Guaraná Fantástica","1996-08-14","USA",1,"21.60"
10281,"Beverages","Steeleye Stout","1996-08-14","USA",0,"57.60"
10282,"Seafood","Nord-Ost Matjeshering","1996-08-15","USA",0,"124.20"
10282,"Grains/Cereals","Ravioli Angelo","1996-08-15","USA",0,"31.20"
10283,"Condiments","Genen Shouyu","1996-08-16","USA",0,"248.00"
10283,"Confections","Teatime Chocolate Biscuits","1996-08-16","USA",0,"131.40"
10283,"Dairy Products","Camembert Pierrot","1996-08-16","USA",0,"952.00"
10283,"Dairy Products","Mozzarella di Giovanni","1996-08-16","USA",0,"83.40"
10284,"Confections","Schoggi Schokolade","1996-08-19","USA",0,"526.50"
10284,"Condiments","Gula Malacca","1996-08-19","USA",0,"325.50"
10284,"Dairy Products","Camembert Pierrot","1996-08-19","USA",0,"544.00"
10284,"Beverages","Laughing Lumberjack Lager","1996-08-19","USA",0,"56.00"
10285,"Beverages","Chai","1996-08-20","USA",1,"648.00"
10285,"Seafood","Boston Crab Meat","1996-08-20","USA",0,"588.00"
10285,"Meat/Poultry","Perth Pasties","1996-08-20","USA",1,"943.20"
10286,"Beverages","Steeleye Stout","1996-08-21","USA",0,"1440.00"
10286,"Confections","Tarte au sucre","1996-08-21","USA",0,"1576.00"
10287,"Confections","Pavlova","1996-08-22","USA",0,"556.00"
10287,"Beverages","Sasquatch Ale","1996-08-22","USA",0,"224.00"
10287,"Seafood","Spegesild","1996-08-22","USA",0,"144.00"
10288,"Meat/Poultry","Tourtière","1996-08-23","USA",0,"59.00"
10288,"Confections","Scottish Longbreads","1996-08-23","USA",0,"30.00"
10289,"Condiments","Aniseed Syrup","1996-08-26","UK",0,"240.00"
10289,"Grains/Cereals","Wimmers gute Semmelknödel","1996-08-26","UK",0,"239.40"
10290,"Condiments","Chef Anton's Gumbo Mix","1996-08-27","USA",1,"340.00"
10290,"Meat/Poultry","Thüringer Rostbratwurst","1996-08-27","USA",1,"1485.00"
10290,"Confections","Maxilaku","1996-08-27","USA",0,"240.00"
10290,"Condiments","Original Frankfurter grüne Soße","1996-08-27","USA",0,"104.00"
10291,"Seafood","Konbu","1996-08-27","UK",0,"96.00"
10291,"Condiments","Gula Malacca","1996-08-27","UK",0,"372.00"
10291,"Produce","Manjimup Dried Apples","1996-08-27","UK",0,"84.80"
10292,"Confections","Sir Rodney's Marmalade","1996-08-28","USA",0,"1296.00"
10293,"Seafood","Carnarvon Tigers","1996-08-29","USA",0,"600.00"
10293,"Beverages","Guaraná Fantástica","1996-08-29","USA",1,"36.00"
10293,"Condiments","Vegie-spread","1996-08-29","USA",0,"175.50"
10293,"Beverages","Rhönbräu Klosterbier","1996-08-29","USA",0,"37.20"
10294,"Beverages","Chai","1996-08-30","USA",1,"259.20"
10294,"Meat/Poultry","Alice Mutton","1996-08-30","USA",1,"468.00"
10294,"Beverages","Ipoh Coffee","1996-08-30","USA",0,"552.00"
10294,"Dairy Products","Camembert Pierrot","1996-08-30","USA",0,"571.20"
10294,"Beverages","Rhönbräu Klosterbier","1996-08-30","USA",0,"37.20"
10295,"Grains/Cereals","Gnocchi di nonna Alice","1996-09-02","USA",0,"121.60"
10296,"Dairy Products","Queso Cabrales","1996-09-03","UK",0,"201.60"
10296,"Confections","Pavlova","1996-09-03","UK",0,"417.00"
10296,"Dairy Products","Gudbrandsdalsost","1996-09-03","UK",0,"432.00"
10297,"Beverages","Chartreuse verte","1996-09-04","UK",0,"864.00"
10297,"Dairy Products","Mozzarella di Giovanni","1996-09-04","UK",0,"556.00"
10298,"Beverages","Chang","1996-09-05","UK",1,"608.00"
10298,"Seafood","Inlagd Sill","1996-09-05","UK",0,"608.00"
10298,"Dairy Products","Raclette Courdavault","1996-09-05","UK",0,"1320.00"
10298,"Confections","Tarte au sucre","1996-09-05","UK",0,"591.00"
10299,"Confections","Teatime Chocolate Biscuits","1996-09-06","USA",0,"109.50"
10299,"Beverages","Outback Lager","1996-09-06","USA",0,"240.00"
10300,"Condiments","Louisiana Hot Spiced Okra","1996-09-09","USA",0,"408.00"
10300,"Confections","Scottish Longbreads","1996-09-09","USA",0,"200.00"
10301,"Seafood","Boston Crab Meat","1996-09-09","USA",0,"147.00"
10301,"Grains/Cereals","Gnocchi di nonna Alice","1996-09-09","USA",0,"608.00"
10302,"Meat/Poultry","Alice Mutton","1996-09-10","USA",1,"1248.00"
10302,"Produce","Rössle Sauerkraut","1996-09-10","USA",1,"1019.20"
10302,"Beverages","Ipoh Coffee","1996-09-10","USA",0,"441.60"
10303,"Seafood","Boston Crab Meat","1996-09-11","UK",0,"588.00"
10303,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-09-11","UK",0,"504.00"
10303,"Confections","Scottish Longbreads","1996-09-11","UK",0,"150.00"
10304,"Confections","Maxilaku","1996-09-12","USA",0,"480.00"
10304,"Dairy Products","Raclette Courdavault","1996-09-12","USA",0,"440.00"
10304,"Dairy Products","Flotemysost","1996-09-12","USA",0,"34.40"
10305,"Seafood","Carnarvon Tigers","1996-09-13","USA",0,"1250.00"
10305,"Meat/Poultry","Thüringer Rostbratwurst","1996-09-13","USA",1,"2475.00"
10305,"Beverages","Chartreuse verte","1996-09-13","USA",0,"432.00"
10306,"Seafood","Nord-Ost Matjeshering","1996-09-16","USA",0,"207.00"
10306,"Meat/Poultry","Perth Pasties","1996-09-16","USA",1,"262.00"
10306,"Meat/Poultry","Tourtière","1996-09-16","USA",0,"29.50"
10307,"Confections","Tarte au sucre","1996-09-17","USA",0,"394.00"
10307,"Confections","Scottish Longbreads","1996-09-17","USA",0,"30.00"
10308,"Dairy Products","Gudbrandsdalsost","1996-09-18","UK",0,"28.80"
10308,"Beverages","Outback Lager","1996-09-18","UK",0,"60.00"
10309,"Condiments","Chef Anton's Cajun Seasoning","1996-09-19","USA",0,"352.00"
10309,"Condiments","Grandma's Boysenberry Spread","1996-09-19","USA",0,"600.00"
10309,"Grains/Cereals","Singaporean Hokkien Fried Mee","1996-09-19","USA",1,"22.40"
10309,"Beverages","Ipoh Coffee","1996-09-19","USA",0,"736.00"
10309,"Dairy Products","Flotemysost","1996-09-19","USA",0,"51.60"
10310,"Confections","Pavlova","1996-09-20","USA",0,"139.00"
10310,"Confections","Tarte au sucre","1996-09-20","USA",0,"197.00"
10311,"Grains/Cereals","Singaporean Hokkien Fried Mee","1996-09-20","USA",1,"67.20"
10311,"Dairy Products","Gudbrandsdalsost","1996-09-20","USA",0,"201.60"
10312,"Produce","Rössle Sauerkraut","1996-09-23","USA",1,"145.60"
10312,"Beverages","Ipoh Coffee","1996-09-23","USA",0,"883.20"
10312,"Meat/Poultry","Perth Pasties","1996-09-23","USA",1,"524.00"
10312,"Beverages","Rhönbräu Klosterbier","1996-09-23","USA",0,"62.00"
10313,"Seafood","Inlagd Sill","1996-09-24","USA",0,"182.40"
10314,"Dairy Products","Mascarpone Fabioli","1996-09-25","USA",0,"1024.00"
10314,"Seafood","Escargots de Bourgogne","1996-09-25","USA",0,"318.00"
10314,"Confections","Tarte au sucre","1996-09-25","USA",0,"985.00"
10315,"Beverages","Sasquatch Ale","1996-09-26","USA",0,"156.80"
10315,"Beverages","Outback Lager","1996-09-26","USA",0,"360.00"
10316,"Seafood","Jack's New England Clam Chowder","1996-09-27","USA",0,"77.00"
10316,"Confections","Tarte au sucre","1996-09-27","USA",0,"2758.00"
10317,"Beverages","Chai","1996-09-30","UK",1,"288.00"
10318,"Seafood","Jack's New England Clam Chowder","1996-10-01","USA",0,"154.00"
10318,"Beverages","Lakkalikööri","1996-10-01","USA",0,"86.40"
10319,"Meat/Poultry","Alice Mutton","1996-10-02","UK",1,"249.60"
10319,"Produce","Rössle Sauerkraut","1996-10-02","UK",1,"509.60"
10319,"Beverages","Lakkalikööri","1996-10-02","UK",0,"432.00"
10320,"Dairy Products","Flotemysost","1996-10-03","UK",0,"516.00"
10321,"Beverages","Steeleye Stout","1996-10-03","USA",0,"144.00"
10322,"Grains/Cereals","Filo Mix","1996-10-04","UK",0,"112.00"
10323,"Condiments","Genen Shouyu","1996-10-07","USA",0,"62.00"
10323,"Confections","NuNuCa Nuß-Nougat-Creme","1996-10-07","USA",0,"44.80"
10323,"Beverages","Chartreuse verte","1996-10-07","USA",0,"57.60"
10324,"Confections","Pavlova","1996-10-08","UK",0,"291.90"
10324,"Beverages","Steeleye Stout","1996-10-08","UK",0,"1008.00"
10324,"Seafood","Spegesild","1996-10-08","UK",0,"288.00"
10324,"Dairy Products","Raclette Courdavault","1996-10-08","UK",0,"1760.00"
10324,"Condiments","Vegie-spread","1996-10-08","UK",0,"2808.00"
10325,"Condiments","Grandma's Boysenberry Spread","1996-10-09","USA",0,"120.00"
10325,"Seafood","Konbu","1996-10-09","USA",0,"57.60"
10325,"Produce","Tofu","1996-10-09","USA",0,"167.40"
10325,"Dairy Products","Gorgonzola Telino","1996-10-09","USA",0,"40.00"
10325,"Dairy Products","Mozzarella di Giovanni","1996-10-09","USA",0,"1112.00"
10326,"Condiments","Chef Anton's Cajun Seasoning","1996-10-10","USA",0,"422.40"
10326,"Grains/Cereals","Ravioli Angelo","1996-10-10","USA",0,"249.60"
10326,"Beverages","Rhönbräu Klosterbier","1996-10-10","USA",0,"310.00"
10327,"Beverages","Chang","1996-10-11","USA",1,"380.00"
10327,"Dairy Products","Queso Cabrales","1996-10-11","USA",0,"840.00"
10327,"Seafood","Nord-Ost Matjeshering","1996-10-11","USA",0,"724.50"
10327,"Seafood","Escargots de Bourgogne","1996-10-11","USA",0,"318.00"
10328,"Dairy Products","Raclette Courdavault","1996-10-14","USA",0,"396.00"
10328,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-10-14","USA",0,"672.00"
10328,"Confections","Scottish Longbreads","1996-10-14","USA",0,"100.00"
10329,"Confections","Teatime Chocolate Biscuits","1996-10-15","USA",0,"73.00"
10329,"Seafood","Nord-Ost Matjeshering","1996-10-15","USA",0,"165.60"
10329,"Beverages","Côte de Blaye","1996-10-15","USA",0,"4216.00"
10329,"Grains/Cereals","Gnocchi di nonna Alice","1996-10-15","USA",0,"364.80"
10330,"Confections","Gumbär Gummibärchen","1996-10-16","USA",0,"1245.00"
10330,"Dairy Products","Mozzarella di Giovanni","1996-10-16","USA",0,"695.00"
10331,"Meat/Poultry","Tourtière","1996-10-16","UK",0,"88.50"
10332,"Seafood","Carnarvon Tigers","1996-10-17","USA",0,"2000.00"
10332,"Grains/Cereals","Singaporean Hokkien Fried Mee","1996-10-17","USA",1,"112.00"
10332,"Confections","Zaanse koeken","1996-10-17","USA",0,"121.60"
10333,"Produce","Tofu","1996-10-18","UK",0,"186.00"
10333,"Confections","Sir Rodney's Scones","1996-10-18","UK",0,"80.00"
10333,"Dairy Products","Flotemysost","1996-10-18","UK",0,"688.00"
10334,"Grains/Cereals","Filo Mix","1996-10-21","USA",0,"44.80"
10334,"Confections","Scottish Longbreads","1996-10-21","USA",0,"100.00"
10335,"Beverages","Chang","1996-10-22","UK",1,"106.40"
10335,"Dairy Products","Gorgonzola Telino","1996-10-22","UK",0,"250.00"
10335,"Dairy Products","Mascarpone Fabioli","1996-10-22","UK",0,"153.60"
10335,"Produce","Manjimup Dried Apples","1996-10-22","UK",0,"2035.20"
10336,"Condiments","Chef Anton's Cajun Seasoning","1996-10-23","UK",0,"316.80"
10337,"Grains/Cereals","Tunnbröd","1996-10-24","USA",0,"288.00"
10337,"Confections","Gumbär Gummibärchen","1996-10-24","USA",0,"597.60"
10337,"Seafood","Inlagd Sill","1996-10-24","USA",0,"304.00"
10337,"Seafood","Gravad lax","1996-10-24","USA",0,"582.40"
10337,"Dairy Products","Mozzarella di Giovanni","1996-10-24","USA",0,"695.00"
10338,"Meat/Poultry","Alice Mutton","1996-10-25","USA",1,"624.00"
10338,"Seafood","Nord-Ost Matjeshering","1996-10-25","USA",0,"310.50"
10339,"Condiments","Chef Anton's Cajun Seasoning","1996-10-28","USA",0,"176.00"
10339,"Meat/Poultry","Alice Mutton","1996-10-28","USA",1,"2184.00"
10339,"Confections","Tarte au sucre","1996-10-28","USA",0,"1103.20"
10340,"Seafood","Carnarvon Tigers","1996-10-29","USA",0,"1000.00"
10340,"Seafood","Jack's New England Clam Chowder","1996-10-29","USA",0,"92.40"
10340,"Beverages","Ipoh Coffee","1996-10-29","USA",0,"1472.00"
10341,"Dairy Products","Geitost","1996-10-29","UK",0,"16.00"
10341,"Dairy Products","Raclette Courdavault","1996-10-29","UK",0,"396.00"
10342,"Beverages","Chang","1996-10-30","USA",1,"364.80"
10342,"Dairy Products","Gorgonzola Telino","1996-10-30","USA",0,"560.00"
10342,"Seafood","Inlagd Sill","1996-10-30","USA",0,"608.00"
10342,"Meat/Poultry","Pâté chinois","1996-10-30","USA",0,"768.00"
10343,"Grains/Cereals","Wimmers gute Semmelknödel","1996-10-31","USA",0,"1330.00"
10343,"Confections","Scottish Longbreads","1996-10-31","USA",0,"40.00"
10343,"Beverages","Lakkalikööri","1996-10-31","USA",0,"216.00"
10344,"Condiments","Chef Anton's Cajun Seasoning","1996-11-01","USA",0,"616.00"
10344,"Condiments","Northwoods Cranberry Sauce","1996-11-01","USA",0,"2240.00"
10345,"Condiments","Northwoods Cranberry Sauce","1996-11-04","USA",0,"2240.00"
10345,"Confections","Teatime Chocolate Biscuits","1996-11-04","USA",0,"584.00"
10345,"Grains/Cereals","Singaporean Hokkien Fried Mee","1996-11-04","USA",1,"100.80"
10346,"Meat/Poultry","Alice Mutton","1996-11-05","USA",1,"1123.20"
10346,"Grains/Cereals","Gnocchi di nonna Alice","1996-11-05","USA",0,"608.00"
10347,"Confections","NuNuCa Nuß-Nougat-Creme","1996-11-06","USA",0,"112.00"
10347,"Beverages","Chartreuse verte","1996-11-06","USA",0,"720.00"
10347,"Seafood","Boston Crab Meat","1996-11-06","USA",0,"58.80"
10347,"Beverages","Rhönbräu Klosterbier","1996-11-06","USA",0,"37.20"
10348,"Beverages","Chai","1996-11-07","USA",1,"216.00"
10348,"Grains/Cereals","Tunnbröd","1996-11-07","USA",0,"180.00"
10349,"Meat/Poultry","Tourtière","1996-11-08","UK",0,"141.60"
10350,"Confections","Valkoinen suklaa","1996-11-11","UK",0,"195.00"
10350,"Dairy Products","Gudbrandsdalsost","1996-11-11","UK",0,"518.40"
10351,"Beverages","Côte de Blaye","1996-11-11","USA",0,"4216.00"
10351,"Seafood","Jack's New England Clam Chowder","1996-11-11","USA",0,"100.10"
10351,"Condiments","Gula Malacca","1996-11-11","USA",0,"1193.50"
10351,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-11-11","USA",0,"168.00"
10352,"Beverages","Guaraná Fantástica","1996-11-12","USA",1,"36.00"
10352,"Meat/Poultry","Tourtière","1996-11-12","USA",0,"118.00"
10353,"Dairy Products","Queso Cabrales","1996-11-13","UK",0,"201.60"
10353,"Beverages","Côte de Blaye","1996-11-13","UK",0,"10540.00"
10354,"Beverages","Chai","1996-11-14","USA",1,"172.80"
10354,"Meat/Poultry","Thüringer Rostbratwurst","1996-11-14","USA",1,"396.00"
10355,"Beverages","Guaraná Fantástica","1996-11-15","UK",1,"90.00"
10355,"Grains/Cereals","Ravioli Angelo","1996-11-15","UK",0,"390.00"
10356,"Dairy Products","Gorgonzola Telino","1996-11-18","UK",0,"300.00"
10356,"Meat/Poultry","Pâté chinois","1996-11-18","UK",0,"230.40"
10356,"Dairy Products","Gudbrandsdalsost","1996-11-18","UK",0,"576.00"
10357,"Seafood","Ikura","1996-11-19","USA",0,"744.00"
10357,"Confections","Gumbär Gummibärchen","1996-11-19","USA",0,"398.40"
10357,"Dairy Products","Camembert Pierrot","1996-11-19","USA",0,"217.60"
10358,"Beverages","Guaraná Fantástica","1996-11-20","UK",1,"36.00"
10358,"Beverages","Sasquatch Ale","1996-11-20","UK",0,"112.00"
10358,"Seafood","Inlagd Sill","1996-11-20","UK",0,"304.00"
10359,"Confections","Pavlova","1996-11-21","UK",0,"778.40"
10359,"Dairy Products","Gorgonzola Telino","1996-11-21","UK",0,"700.00"
10359,"Dairy Products","Camembert Pierrot","1996-11-21","UK",0,"2176.00"
10360,"Produce","Rössle Sauerkraut","1996-11-22","USA",1,"1092.00"
10360,"Meat/Poultry","Thüringer Rostbratwurst","1996-11-22","USA",1,"3465.00"
10360,"Beverages","Côte de Blaye","1996-11-22","USA",0,"2108.00"
10360,"Confections","Maxilaku","1996-11-22","USA",0,"560.00"
10360,"Meat/Poultry","Tourtière","1996-11-22","USA",0,"165.20"
10361,"Beverages","Chartreuse verte","1996-11-22","USA",0,"777.60"
10361,"Dairy Products","Camembert Pierrot","1996-11-22","USA",0,"1496.00"
10362,"Confections","NuNuCa Nuß-Nougat-Creme","1996-11-25","USA",0,"560.00"
10362,"Produce","Manjimup Dried Apples","1996-11-25","USA",0,"848.00"
10362,"Meat/Poultry","Tourtière","1996-11-25","USA",0,"141.60"
10363,"Dairy Products","Gorgonzola Telino","1996-11-26","USA",0,"200.00"
10363,"Beverages","Rhönbräu Klosterbier","1996-11-26","USA",0,"74.40"
10363,"Beverages","Lakkalikööri","1996-11-26","USA",0,"172.80"
10364,"Dairy Products","Gudbrandsdalsost","1996-11-26","USA",0,"864.00"
10364,"Dairy Products","Flotemysost","1996-11-26","USA",0,"86.00"
10365,"Dairy Products","Queso Cabrales","1996-11-27","USA",0,"403.20"
10366,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-11-28","USA",0,"84.00"
10366,"Condiments","Original Frankfurter grüne Soße","1996-11-28","USA",0,"52.00"
10367,"Beverages","Sasquatch Ale","1996-11-28","UK",0,"403.20"
10367,"Meat/Poultry","Tourtière","1996-11-28","UK",0,"106.20"
10367,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-11-28","UK",0,"252.00"
10367,"Condiments","Original Frankfurter grüne Soße","1996-11-28","UK",0,"72.80"
10368,"Confections","Sir Rodney's Scones","1996-11-29","USA",0,"40.00"
10368,"Produce","Rössle Sauerkraut","1996-11-29","USA",1,"473.20"
10368,"Grains/Cereals","Ravioli Angelo","1996-11-29","USA",0,"390.00"
10368,"Grains/Cereals","Wimmers gute Semmelknödel","1996-11-29","USA",0,"931.00"
10369,"Meat/Poultry","Thüringer Rostbratwurst","1996-12-02","USA",1,"1980.00"
10369,"Grains/Cereals","Gnocchi di nonna Alice","1996-12-02","USA",0,"547.20"
10370,"Beverages","Chai","1996-12-03","UK",1,"216.00"
10370,"Grains/Cereals","Wimmers gute Semmelknödel","1996-12-03","UK",0,"798.00"
10370,"Produce","Longlife Tofu","1996-12-03","UK",0,"160.00"
10371,"Seafood","Inlagd Sill","1996-12-03","USA",0,"91.20"
10372,"Confections","Sir Rodney's Marmalade","1996-12-04","UK",0,"777.60"
10372,"Beverages","Côte de Blaye","1996-12-04","UK",0,"8432.00"
10372,"Dairy Products","Camembert Pierrot","1996-12-04","UK",0,"1904.00"
10372,"Dairy Products","Mozzarella di Giovanni","1996-12-04","UK",0,"1167.60"
10373,"Seafood","Escargots de Bourgogne","1996-12-05","USA",0,"848.00"
10373,"Dairy Products","Flotemysost","1996-12-05","USA",0,"860.00"
10374,"Dairy Products","Gorgonzola Telino","1996-12-05","USA",0,"300.00"
10374,"Seafood","Escargots de Bourgogne","1996-12-05","USA",0,"159.00"
10375,"Produce","Tofu","1996-12-06","USA",0,"279.00"
10375,"Meat/Poultry","Tourtière","1996-12-06","USA",0,"59.00"
10376,"Dairy Products","Gorgonzola Telino","1996-12-09","USA",0,"420.00"
10377,"Produce","Rössle Sauerkraut","1996-12-09","USA",1,"728.00"
10377,"Beverages","Chartreuse verte","1996-12-09","USA",0,"288.00"
10378,"Dairy Products","Flotemysost","1996-12-10","UK",0,"103.20"
10379,"Seafood","Jack's New England Clam Chowder","1996-12-11","USA",0,"61.60"
10379,"Condiments","Vegie-spread","1996-12-11","USA",0,"561.60"
10379,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-12-11","USA",0,"336.00"
10380,"Seafood","Nord-Ost Matjeshering","1996-12-12","USA",0,"372.60"
10380,"Meat/Poultry","Perth Pasties","1996-12-12","USA",1,"524.00"
10380,"Dairy Products","Camembert Pierrot","1996-12-12","USA",0,"163.20"
10380,"Beverages","Outback Lager","1996-12-12","USA",0,"360.00"
10381,"Produce","Longlife Tofu","1996-12-12","USA",0,"112.00"
10382,"Condiments","Chef Anton's Gumbo Mix","1996-12-13","USA",1,"544.00"
10382,"Seafood","Carnarvon Tigers","1996-12-13","USA",0,"450.00"
10382,"Meat/Poultry","Thüringer Rostbratwurst","1996-12-13","USA",1,"1386.00"
10382,"Dairy Products","Geitost","1996-12-13","USA",0,"120.00"
10382,"Produce","Longlife Tofu","1996-12-13","USA",0,"400.00"
10383,"Seafood","Konbu","1996-12-16","USA",0,"96.00"
10383,"Confections","Valkoinen suklaa","1996-12-16","USA",0,"195.00"
10383,"Grains/Cereals","Gnocchi di nonna Alice","1996-12-16","USA",0,"608.00"
